highrisk,id,name
False,35-0008885,Robutenia
False,43-0002342,Warst
False,02-0008878,Woods LLC
False,83-0006036,Morsem Company
False,25-0002930,Datastore Industries
False,15-0006647,Klein
False,67-0005965,QuickLink
False,45-0003549,Beans
False,40-0009367,Gualas Company
False,51-0000055,Quisuc LLC
False,83-0009807,QuickLink
False,05-0001305,Datastore LLC
False,80-0004598,Nonos Inc.
False,24-0004573,Robutenia Company
False,53-0008705,QuickLink Inc.
False,36-0002097,QuickLink LLC
False,38-0000281,Erntogra Consulting
False,94-0008555,Morsem Limited
False,74-0005192,Terson
False,90-0009575,Erntogra
False,85-0007594,Vitae
False,94-0009085,Nonos
False,57-0008761,Interdem Limited
False,20-0006155,SuperMemo Company
False,45-0003389,Hostes
False,05-0004894,QuickLink
False,84-0002592,Warst
False,83-0003494,Nonos LLC
False,66-0002366,Porta Associates
False,88-0009901,Quicker
False,15-0000524,Hostes Limited
False,86-0007389,Linger Company
False,54-0002182,Vitae Limited
False,00-0006494,Datastore Associates
False,78-0005025,MemorTech Limited
False,74-0009810,Terson
False,91-0007950,Furba
False,26-0004066,Yrsa Consulting
False,52-0005161,Yrsa Associates
False,02-0007406,Klein
False,71-0003874,Porta Consulting
False,21-0002089,Quicker
False,35-0000410,Klein Company
False,15-0002404,Morsem
False,65-0008706,QuickLink
False,11-0006550,Erntogra
False,60-0000754,Interdem
False,15-0009479,Woods Industries
False,87-0001184,Gualas Limited
False,30-0006594,Vitae
False,59-0001318,Alist
False,40-0008872,Warst
False,58-0004185,FlyHigh Company
False,10-0008265,Buapel
False,03-0007726,FlyHigh
False,24-0008503,Buapel Company
False,88-0003787,SuperMemo Industries
True,42-0006302,Furba
False,24-0003661,Vitae
False,92-0004105,Gualas
False,02-0008668,Hostes
False,62-0008049,Interdem Inc.
False,43-0002085,QuickLink
False,64-0009941,Terson Company
False,50-0000603,Woods
False,84-0001405,Interdem LLC
False,39-0000857,SuperMemo Associates
False,72-0008405,Datastore
False,36-0000765,Quisuc
False,58-0002006,Hostes
False,23-0001030,Yrsa Company
False,35-0009993,Vitae Industries
False,84-0009187,QuickLink
False,68-0000039,Erntogra Ltd
False,84-0000380,Morsem Ltd
False,67-0007723,Adapt Limited
False,22-0000580,Alist Ltd
False,66-0000272,Adapt Ltd
False,00-0001222,QuickLink
False,82-0006933,Terson
False,71-0005789,Interdem
False,23-0003291,Quisuc
False,38-0007450,Klein
False,72-0004809,Klein Inc.
False,30-0005495,Hostes Inc.
False,84-0005117,Quisuc Associates
False,74-0005281,Adapt
False,73-0000028,Adapt
False,25-0004823,Morsem
False,23-0008531,Terson Inc.
False,42-0003984,Felics Industries
False,33-0001300,SuperMemo Consulting
False,80-0005452,Gualas
False,44-0002755,Beans LLC
False,55-0002739,Datastore Associates
False,45-0003271,Vitae Industries
False,63-0001948,Vitae Company
False,78-0003480,MemorTech
False,02-0000372,Terson Company
False,15-0008545,FlyHigh Associates
False,99-0002286,QuickLink
False,23-0001660,Morsem Associates
False,30-0000603,Interdem
False,92-0009552,SuperMemo Industries
False,87-0003952,Linger
False,42-0005114,FlyHigh Limited
False,77-0008526,Beans Company
False,00-0001084,Terson
False,43-0002190,MemorTech Ltd
False,81-0008478,Terson
False,87-0008976,Woods
False,34-0007971,Quicker Industries
False,01-0002151,Gualas
False,75-0001238,MemorTech
False,42-0000241,Quisuc
False,91-0006041,Warst Company
False,95-0009954,Datastore Inc.
False,12-0004687,Morsem Inc.
False,24-0004744,SuperMemo Ltd
False,54-0006572,Erntogra
